classifier,imbalance_technique,AUC_point,AUC_lo,AUC_hi,AUC_excl,Sensitivity_point,Sensitivity_lo,Sensitivity_hi,Sensitivity_excl,Specificity_point,Specificity_lo,Specificity_hi,Specificity_excl,Balanced_Acc_point,Balanced_Acc_lo,Balanced_Acc_hi,Balanced_Acc_excl,GMean_point,GMean_lo,GMean_hi,GMean_excl
KNN,RUS,0.886,0.834,0.933,0,0.8,0.655,0.925,0,0.823,0.779,0.87,0,0.812,0.738,0.879,0,0.812,0.735,0.878,0
NaiveBayes,None,0.889,0.834,0.937,0,0.714,0.556,0.853,0,0.835,0.789,0.881,0,0.774,0.694,0.847,0,0.772,0.682,0.847,0
DecisionTree,TomekLinks,0.874,0.805,0.931,0,0.286,0.136,0.44,0,0.97,0.948,0.989,0,0.628,0.555,0.706,0,0.526,0.364,0.654,0
RandomForest,None,0.919,0.868,0.958,0,0.257,0.114,0.412,0,0.989,0.974,1.0,0,0.623,0.551,0.7,0,0.504,0.337,0.638,0
SVM,SMOTEENN,0.908,0.863,0.946,0,0.886,0.765,0.975,0,0.767,0.714,0.821,0,0.826,0.759,0.88,0,0.824,0.758,0.875,0
MLP,None,0.918,0.874,0.955,0,0.029,0.0,0.1,0,1.0,1.0,1.0,0,0.514,0.5,0.55,0,0.169,0.0,0.316,0
LightGBM,ROS,0.923,0.868,0.966,0,0.857,0.724,0.967,0,0.831,0.784,0.876,0,0.844,0.774,0.903,0,0.844,0.772,0.902,0
