classifier,single_bal_acc,single_sensitivity,single_specificity,ens_bal_acc,ens_sensitivity,ens_specificity
KNN,0.566140237652329,0.13730158730158729,0.9949788880030709,0.7875685513031601,0.7361552028218696,0.8389818997844506
NaiveBayes,0.7970125551820124,0.7268077601410935,0.867217350222931,0.8087453793340055,0.8058201058201058,0.8116706528479052
DecisionTree,0.6526718897123717,0.33641975308641964,0.9689240263383234,0.7773932085407858,0.7509700176366843,0.8038163994448871
RandomForest,0.629246173523789,0.2757495590828924,0.9827427879646855,0.8143728665962698,0.808289241622575,0.8204564915699649
SVM,0.5,0.0,1.0,0.7928247097305473,0.7987654320987654,0.7868839873623291
MLP,0.6981789643052818,0.4274250440917108,0.9689328845188531,0.8320492955403046,0.844268077601411,0.819830513479198
LightGBM,0.6922723389018012,0.4178130511463845,0.966731626657218,0.8200206948656767,0.808289241622575,0.8317521481087785
