classifier,bal_acc_single_mean,bal_acc_ens_mean,bal_acc_diff,bal_acc_p_raw,bal_acc_p_bonferroni,bal_acc_significant,sensitivity_single_mean,sensitivity_ens_mean,sensitivity_diff,sensitivity_p_raw,sensitivity_p_bonferroni,sensitivity_significant,specificity_single_mean,specificity_ens_mean,specificity_diff,specificity_p_raw,specificity_p_bonferroni,specificity_significant
KNN,0.566140237652329,0.7875685513031601,0.22142831365083115,6.103515625e-05,0.00042724609375,True,0.13730158730158729,0.7361552028218696,0.5988536155202819,0.0006516660806139112,0.004561662564297379,True,0.9949788880030709,0.8389818997844506,-0.15599698821861988,0.0006533107814151377,0.004573175469905964,True
NaiveBayes,0.7970125551820124,0.8087453793340055,0.011732824151993245,0.33026123046875,1.0,False,0.7268077601410935,0.8058201058201058,0.07901234567901234,0.0009479022785712759,0.006635315949998931,True,0.867217350222931,0.8116706528479052,-0.05554669737502583,0.0006533107814151377,0.004573175469905964,True
DecisionTree,0.6526718897123717,0.7773932085407858,0.12472131882841427,0.00018310546875,0.00128173828125,True,0.33641975308641964,0.7509700176366843,0.4145502645502645,0.0006500242387180628,0.00455016967102644,True,0.9689240263383234,0.8038163994448871,-0.16510762689343608,6.103515625e-05,0.00042724609375,True
RandomForest,0.629246173523789,0.8143728665962698,0.18512669307248103,6.103515625e-05,0.00042724609375,True,0.2757495590828924,0.808289241622575,0.5325396825396825,0.0006402330973173942,0.004481631681221759,True,0.9827427879646855,0.8204564915699649,-0.1622862963947205,0.0006533107814151377,0.004573175469905964,True
SVM,0.5,0.7928247097305473,0.2928247097305473,6.103515625e-05,0.00042724609375,True,0.0,0.7987654320987654,0.7987654320987654,0.0006305443037266362,0.0044138101260864536,True,1.0,0.7868839873623291,-0.2131160126376709,0.0006516660806139112,0.004561662564297379,True
MLP,0.6981789643052818,0.8320492955403046,0.13387033123502248,6.103515625e-05,0.00042724609375,True,0.4274250440917108,0.844268077601411,0.4168430335097002,0.0006500242387180628,0.00455016967102644,True,0.9689328845188531,0.819830513479198,-0.14910237103965512,6.103515625e-05,0.00042724609375,True
LightGBM,0.6922723389018012,0.8200206948656767,0.12774835596387554,6.103515625e-05,0.00042724609375,True,0.4178130511463845,0.808289241622575,0.3904761904761905,0.0006516660806139112,0.004561662564297379,True,0.966731626657218,0.8317521481087785,-0.13497947854843947,0.0006533107814151377,0.004573175469905964,True
